Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,Library,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE,Age,dev_stage,Ecotype
SRR2065337,WGS,200,43347004400,PRJNA287005,SAMN03778981,Plant,29059553067,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060634,USA,North America,USA,Illumina HiSeq 2000,M-4-1x,NPV_BD,NPV_BD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_BD_M-4-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067686,WGS,200,62369713800,PRJNA287005,SAMN03778979,Plant,42715157406,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060632,USA,North America,USA,Illumina HiSeq 2000,M-2-1x,NPV_AI,NPV_AI,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AI_M-2-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2069934,RNA-Seq,50,2547211300,PRJNA287005,SAMN03778964,Plant,1528792634,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060611,USA,North America,USA,Illumina HiSeq 2500,M-5-1x,NPV_GK,NPV_GK,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_GK_M-5-1x_Tuber,SRP059592,Tuber,,,
SRR2065339,WGS,200,42496731600,PRJNA287005,SAMN03778982,Plant,28123687069,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060635,USA,North America,USA,Illumina HiSeq 2000,M-5-1x,NPV_BE,NPV_BE,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_BE_M-5-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067813,WGS,200,53566501800,PRJNA287005,SAMN03778989,Plant,36740188539,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060946,USA,North America,USA,Illumina HiSeq 2000,M-13-1x,NPV_AN,NPV_AN,PAIRED,RANDOM,GENOMIC,Solanum chacoense x Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_AN_M-13-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067779,WGS,200,56220860000,PRJNA287005,SAMN03778980,Plant,38508684903,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060633,USA,North America,USA,Illumina HiSeq 2000,M-3-1x,NPV_AJ,NPV_AJ,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AJ_M-3-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068285,RNA-Seq,50,2288651800,PRJNA287005,SAMN03778968,Plant,1541687067,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060622,USA,North America,USA,Illumina HiSeq 2000,M-8-1x,NPV_AU,NPV_AU,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AU_M-8-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068320,RNA-Seq,50,2770136300,PRJNA287005,SAMN03778958,Plant,2133987966,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060604,USA,North America,USA,Illumina HiSeq 2000,M-2-1x,NPV_CC,NPV_CC,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CC_M-2-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2067490,RNA-Seq,50,1549195950,PRJNA287005,SAMN03778961,Plant,1184755283,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060608,USA,North America,USA,Illumina HiSeq 2000,M-4-1x,NPV_AZ,NPV_AZ,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_AZ_M-4-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067491,RNA-Seq,50,1466847750,PRJNA287005,SAMN03778963,Plant,1120787150,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060610,USA,North America,USA,Illumina HiSeq 2000,M-5-1x,NPV_BA,NPV_BA,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_BA_M-5-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067492,RNA-Seq,50,1333176850,PRJNA287005,SAMN03778965,Plant,1020384136,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060612,USA,North America,USA,Illumina HiSeq 2000,M-6-1x,NPV_BB,NPV_BB,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_BB_M-6-1x_Leaf,SRP059592,Leaf,23 days in test tube and 60 days in pot,,
SRR2067493,RNA-Seq,50,1996350700,PRJNA287005,SAMN03778970,Plant,1384060332,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060624,USA,North America,USA,Illumina HiSeq 2000,M-9-1x,NPV_BC,NPV_BC,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_BC_M-9-1x_Leaf,SRP059592,Leaf,Immature plant.,,
SRR2067676,WGS,200,60446084200,PRJNA287005,SAMN03778978,Plant,41365696879,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060631,USA,North America,USA,Illumina HiSeq 2000,M-1-1x,NPV_AH,NPV_AH,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AH_M-1-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067791,WGS,200,51633649600,PRJNA287005,SAMN03778984,Plant,35421716309,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060638,USA,North America,USA,Illumina HiSeq 2000,M-7-1x,NPV_AK,NPV_AK,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AK_M-7-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2067802,WGS,200,48976196600,PRJNA287005,SAMN03778985,Plant,33569489570,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060639,USA,North America,USA,Illumina HiSeq 2000,M-8-1x,NPV_AL,NPV_AL,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AL_M-8-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068260,WGS,200,55952062000,PRJNA287005,SAMN03778988,Plant,38351072012,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060642,USA,North America,USA,Illumina HiSeq 2000,M-11-2x,NPV_AP,NPV_AP,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AP_M-11-2x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068271,RNA-Seq,50,2169680600,PRJNA287005,SAMN03778955,Plant,1483575128,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060601,USA,North America,USA,Illumina HiSeq 2000,M-1-1x,NPV_AQ,NPV_AQ,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AQ_M-1-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068274,RNA-Seq,50,2292803750,PRJNA287005,SAMN03778957,Plant,1558968772,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060603,USA,North America,USA,Illumina HiSeq 2000,M-2-1x,NPV_AR,NPV_AR,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AR_M-2-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068278,RNA-Seq,50,2193296900,PRJNA287005,SAMN03778959,Plant,1484356788,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060605,USA,North America,USA,Illumina HiSeq 2000,M-3-1x,NPV_AS,NPV_AS,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AS_M-3-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068288,RNA-Seq,50,2502491600,PRJNA287005,SAMN03778976,Plant,1698950498,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060944,USA,North America,USA,Illumina HiSeq 2000,M-13-1x,NPV_AW,NPV_AW,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum chacoense x Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AW_M-13-1x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068304,WGS,200,42127525800,PRJNA287005,SAMN03778986,Plant,26252942416,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060640,USA,North America,USA,Illumina HiSeq 2000,M-9-1x,NPV_BG,NPV_BG,PAIRED,cDNA,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_BG_M-9-1x_Leaf,SRP059592,Leaf,Immature plant.,,
SRR2068315,RNA-Seq,50,1748962350,PRJNA287005,SAMN03778956,Plant,1333234840,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060602,USA,North America,USA,Illumina HiSeq 2000,M-1-1x,NPV_CB,NPV_CB,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CB_M-1-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2068323,RNA-Seq,50,1824637350,PRJNA287005,SAMN03778960,Plant,1389576261,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060607,USA,North America,USA,Illumina HiSeq 2000,M-3-1x,NPV_CD,NPV_CD,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CD_M-3-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2068327,RNA-Seq,50,2333967500,PRJNA287005,SAMN03778967,Plant,1793528303,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060621,USA,North America,USA,Illumina HiSeq 2000,M-7-1x,NPV_CE,NPV_CE,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CE_M-7-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2068328,RNA-Seq,50,1772610350,PRJNA287005,SAMN03778969,Plant,1354003522,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060623,USA,North America,USA,Illumina HiSeq 2000,M-8-1x,NPV_CF,NPV_CF,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CF_M-8-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2068333,RNA-Seq,50,2689854000,PRJNA287005,SAMN03778975,Plant,1960879617,MSU-BUELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060630,USA,North America,USA,Illumina HiSeq 2000,M-11-2x,NPV_CH,NPV_CH,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_CH_M-11-2x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2068335,RNA-Seq,50,1446032950,PRJNA287005,SAMN03778977,Plant,1120542135,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060945,USA,North America,USA,Illumina HiSeq 2000,M-13-1x,NPV_CI,NPV_CI,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum chacoense x Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_CI_M-13-1x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2069933,RNA-Seq,50,2322155150,PRJNA287005,SAMN03778962,Plant,1417932958,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060609,USA,North America,USA,Illumina HiSeq 2500,M-4-1x,NPV_GJ,NPV_GJ,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_GJ_M-4-1x_Tuber,SRP059592,Tuber,,,
SRR2069936,RNA-Seq,50,2675847350,PRJNA287005,SAMN03778971,Plant,1608142651,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060625,USA,North America,USA,Illumina HiSeq 2500,M-9-1x,NPV_GL,NPV_GL,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_GL_M-9-1x_Tuber,SRP059592,Tuber,,,
SRR2069937,WGS,200,22695989600,PRJNA287005,SAMN03778983,Plant,14617546895,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060637,USA,North America,USA,Illumina HiSeq 2500,M-6-1x,NPV_GQ,NPV_GQ,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_GQ_M-6-1x_Whole Tissue Culture Plant (Stems and Leaves),SRP059592,Whole Tissue Culture Plant (Stems and Leaves),Immature tissue culture plant,,
SRR2070850,ChIP-Seq,200,2206074000,PRJNA287005,SAMN03782303,Plant,1232326706,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1066015,USA,North America,USA,Illumina HiSeq 2500,Doubled_Monoploid,NPV_DZ,NPV_DZ,PAIRED,ChIP,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,NPV_DZ_Doubled_Monoploid_Leaf,SRP059592,Leaf,,Mature,Adapted Landrace
SRR2070851,ChIP-Seq,200,2677521000,PRJNA287005,SAMN03782304,Plant,1864619203,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1066016,USA,North America,USA,Illumina HiSeq 2000,Doubled_Monoploid,JJ1_EK,JJ1_EK,PAIRED,cDNA,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,JJ1_EK_Doubled_Monoploid_Tuber,SRP059592,Tuber,,Mature,Adapted Landrace
SRR2070852,ChIP-Seq,200,3345588800,PRJNA287005,SAMN03782305,Plant,1810282729,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1066017,USA,North America,USA,Illumina HiSeq 2500,Doubled_Monoploid,NPV_EE,NPV_EE,PAIRED,ChIP,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,NPV_EE_Doubled_Monoploid_Leaf,SRP059592,Leaf,,Mature,Adapted Landrace
SRR2071272,RNA-Seq,50,2205882850,PRJNA287005,SAMN03778973,Plant,1613849555,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1060627,USA,North America,USA,Illumina HiSeq 2000,M-10-2x,NPV_CG,NPV_CG,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,NPV_CG_M-10-2x_Tuber,SRP059592,Tuber,23 days in test tube and 85 days in pot,,
SRR2069932,WGS,200,31744821600,PRJNA287005,SAMN03778990,Plant,20620267110,MSU-BUELL,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1060643,USA,North America,USA,Illumina HiSeq 2500,Doubled_Monoploid,NPV_FN,NPV_FN,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-18T00:00:00Z,NPV_FN_Doubled_Monoploid_Immature Leaves and Stems,SRP059592,Immature Leaves and Stems,Immature leaves.,,
SRR2068294,RNA-Seq,50,2862627900,PRJNA287005,SAMN03778974,Plant,1921936003,MSU-BUELL,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1060628,USA,North America,USA,Illumina HiSeq 2000,M-11-2x,NPV_AY,NPV_AY,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AY_M-11-2x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
SRR2068242,WGS,200,49481889000,PRJNA287005,SAMN03778987,Plant,33974421905,MSU-BUELL,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1060641,USA,North America,USA,Illumina HiSeq 2000,M-10-2x,NPV_AO,NPV_AO,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-17T00:00:00Z,NPV_AO_M-10-2x_Leaf,SRP059592,Leaf,23 days in test tube and 35 days in pot,,
