Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,Library,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE
SRR2069948,RNA-Seq,50,4096829100,PRJNA287438,SAMN03782137,Plant,2697093399,MSU-BUELL,public,Atlantic,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065240,USA,North America,USA,Illumina HiSeq 2000,SCP_AX,SCP_AX,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Atlantic_Leaf_RNA_SCP_AX,SRP059637,leaf
SRR2069940,WGS,300,9250482300,PRJNA287438,SAMN03782133,Plant,5145241765,MSU-BUELL,public,Superior,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065234,USA,North America,USA,Illumina HiSeq 2500,NPV_FR,NPV_FR,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FR,SRP059637,leaf
SRR2069942,WGS,300,10766548200,PRJNA287438,SAMN03782135,Plant,6436975077,MSU-BUELL,public,Superior,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065237,USA,North America,USA,Illumina HiSeq 2500,NPV_FT,NPV_FT,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FT,SRP059637,leaf
SRR2070067,WGS,300,6819483600,PRJNA287438,SAMN03782136,Plant,4193663925,MSU-BUELL,public,Superior,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065239,USA,North America,USA,Illumina HiSeq 2500,NPV_FU,NPV_FU,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FU,SRP059637,leaf
SRR2070076,RNA-Seq,50,5912964900,PRJNA287438,SAMN03782140,Plant,2972473992,MSU-BUELL,public,Superior,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065243,USA,North America,USA,Illumina HiSeq 2500,NPX_GY,NPX_GY,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Tuber_RNA_NPV_GY,SRP059637,tuber
SRR2070075,RNA-Seq,50,7774780450,PRJNA287438,SAMN03782139,Plant,3910911847,MSU-BUELL,public,Superior,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,SRX1065242,USA,North America,USA,Illumina HiSeq 2500,NPV_GX,NPV_GX,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Leaf_RNA_NPV_GX,SRP059637,leaf
SRR2069941,WGS,300,12413448900,PRJNA287438,SAMN03782134,Plant,6994364859,MSU-BUELL,public,Superior,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",NA,SRX1065236,USA,North America,USA,Illumina HiSeq 2500,NPV_FS,NPV_FS,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FS,SRP059637,leaf
SRR2070071,RNA-Seq,50,3664379050,PRJNA287438,SAMN03782138,Plant,2478766861,MSU-BUELL,public,Atlantic,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,SRX1065241,USA,North America,USA,Illumina HiSeq 2000,SCP_AU,SCP_AU,SINGLE,cDNA,TRANSCRIPTOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Atlantic_Tuber_RNA_SCP_AU,SRP059637,tuber
SRR2070063,WGS,200,61892315600,PRJNA287438,SAMN03782132,Plant,40441682781,MSU-BUELL,public,Atlantic,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,SRX1065232,USA,North America,USA,Illumina HiSeq 2000,SCP_AD,SCP_AD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-19T00:00:00Z,Stuberosum_Atlantic_Leaf_gDNA_WGS_SCP_AD,SRP059637,leaf
SRR2070065,WGS,200,47063112200,PRJNA287438,SAMN03782132,Plant,32165734984,MSU-BUELL,public,Atlantic,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,SRX1065232,USA,North America,USA,Illumina HiSeq 2000,SCP_AD,SCP_AD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2015-06-23T00:00:00Z,Stuberosum_Atlantic_Leaf_gDNA_WGS_SCP_AD,SRP059637,leaf
