Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_description,Sample_ID,Sample Name,SRA Study,subgroup,TISSUE
SRR5349572,WGS,199,5997468667,PRJNA378971,SAMN06564748,Plant,4577241094,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 275260,SRX2645988,Mexico,North America,"Mexico: Pachuca\, Real del Monte\, in the woods above the town.",Illumina HiSeq 2000,NA,STP_DL_01,PAIRED,RANDOM,GENOMIC,Solanum verrucosum,ILLUMINA,2017-10-20T00:00:00Z,"STP_DL_01; PI 275260 verrucosum 2x, leaf tissue - genomic DNA sheared to 300bp",PI 275260,STP_DL_01,SRP102000,NA,immature whole leaf
SRR5349573,WGS,200,4691161600,PRJNA378971,SAMN06564747,Plant,3259815055,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 558288,SRX2645989,Chile,South America,"Chile: Colchagua. Ca. 3 km (by air) SSE of Sierras de Bellavista\, by streamside\, in quebrada Las Aletillas.",Illumina HiSeq 2000,NA,STP_DJ_01,PAIRED,RANDOM,GENOMIC,Solanum etuberosum,ILLUMINA,2017-10-20T00:00:00Z,"STP_DJ_01; PI 558288 etuberosum 2x, leaf tissue - genomic DNA sheared to 300bp",PI 558288,STP_DJ_01,SRP102000,NA,immature whole leaf
SRR5349574,WGS,200,5759986600,PRJNA378971,SAMN06564746,Plant,3993940432,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 458424,SRX2645990,Mexico,North America,"Mexico: Catron. 9.8 km NE of Aragon\, 1.6 km SW of Continental Divide.",Illumina HiSeq 2000,NA,STP_DI_01,PAIRED,RANDOM,GENOMIC,Solanum jamesii,ILLUMINA,2017-10-20T00:00:00Z,"STP_DI_01; PI 458424 jamesii 2x, leaf tissue - genomic DNA sheared to 300bp",PI 458424,STP_DI_01,SRP102000,NA,immature whole leaf
SRR5349575,WGS,199,4384545933,PRJNA378971,SAMN06564745,Plant,3394569281,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 275216,SRX2645991,Mexico,North America,"Mexico: San Juan del Rio-Queretaro road\, 17 miles before Bernal\, Cerro Galeras\, E of the road.",Illumina HiSeq 2000,NA,STP_DH_01,PAIRED,RANDOM,GENOMIC,Solanum ehrenbergii,ILLUMINA,2017-10-20T00:00:00Z,"STP_DH_01; PI 275216 ehrenbergii 2x, leaf tissue - genomic DNA sheared to 300bp",PI 275216,STP_DH_01,SRP102000,NA,immature whole leaf
SRR5349576,WGS,200,5122801000,PRJNA378971,SAMN06564744,Plant,3569316772,MICHIGAN STATE UNIVERSITY,public,NA,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,PI 365339,SRX2645992,Peru,South America,"Peru: Cerro Huishca\, enroute to Paucartambo.",Illumina HiSeq 2000,NA,STP_DG_01,PAIRED,RANDOM,GENOMIC,Solanum chomatophilum,ILLUMINA,2017-10-20T00:00:00Z,"STP_DG_01; PI 365339 chomatophilum 2x, leaf tissue - genomic DNA sheared to 300bp",PI 365339,STP_DG_01,SRP102000,NA,immature whole leaf
SRR5349577,WGS,200,62039400200,PRJNA378971,SAMN06564743,Plant,40899105135,MICHIGAN STATE UNIVERSITY,public,Snowden,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2645993,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2000,NA,SCP_AE,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"SCP_AE; Snowden, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp",Snowden,SCP_AE,SRP102000,Tuberosum,immature whole leaf
SRR5349578,WGS,200,61892315600,PRJNA378971,SAMN06564623,Plant,40442849156,MICHIGAN STATE UNIVERSITY,public,Atlantic,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,no,SRX2645994,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2000,NA,SCP_AD,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"Atlantic, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp",Atlantic,SCP_AD,SRP102000,Tuberosum,immature whole leaf
SRR5349579,WGS,200,98460858000,PRJNA378971,SAMN06564742,Plant,70351911595,MICHIGAN STATE UNIVERSITY,public,Kalkaska,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2645997,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2000,NA,SCP_AC,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"SCP_AC; Kalkaska, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp",Kalkaska,SCP_AC,SRP102000,Tuberosum,immature whole leaf
SRR5349580,WGS,200,53716762400,PRJNA378971,SAMN06564741,Plant,33677136828,MICHIGAN STATE UNIVERSITY,public,Missaukee,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2645998,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2000,NA,SCP_AB,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"SCP_AB; Missaukee, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp",Missaukee,SCP_AB,SRP102000,Tuberosum,immature whole leaf
SRR5349581,WGS,200,62270952000,PRJNA378971,SAMN06564740,Plant,40717785846,MICHIGAN STATE UNIVERSITY,public,Russet Norkotah,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,NA,SRX2645999,USA,North America,USA: breeding program (in vitro clone),Illumina HiSeq 2000,NA,SCP_AA,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-20T00:00:00Z,"SCP_AA; Russet Norkotah, tuberosum, 4x, leaf tissue - genomic DNA sheared to 300bp",Russet Norkotah,SCP_AA,SRP102000,Tuberosum,immature whole leaf
