Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE,Avg_Spot_Len (run),Mbases (run),Mbytes (run),Raw_reads (run)
SRR8581162,WGS,300,24850906200,PRJNA408137,SAMN07675587,Plant,10937426095,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_305,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5381884,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00092,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-02-15T00:00:00Z,LOP868_305,SRP119212,leaf,,,,
SRR8581163,WGS,300,32537250300,PRJNA408137,SAMN07675523,Plant,13967780018,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_064,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5381883,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00028,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-02-15T00:00:00Z,LOP868_064,SRP119212,leaf,,,,
SRR8581164,WGS,300,29476947300,PRJNA408137,SAMN07675498,Plant,12502384755,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_004,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5381882,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00003,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-02-15T00:00:00Z,LOP868_004,SRP119212,leaf,,,,
SRR6123013,WGS,50,201122300,PRJNA408137,SAMN07675583,Plant,71748620,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_293,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235845,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00088,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_293,SRP119212,leaf,50,10,117,4022446
SRR6123014,WGS,50,198084100,PRJNA408137,SAMN07675582,Plant,70252780,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_292,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235844,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00087,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_292,SRP119212,leaf,50,219,115,3961682
SRR6123015,WGS,50,4730700,PRJNA408137,SAMN07675581,Plant,1679115,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_289,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235843,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00086,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_289,SRP119212,leaf,50,320,2,94614
SRR6123016,WGS,50,4167950,PRJNA408137,SAMN07675580,Plant,1491068,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_286,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235842,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00085,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_286,SRP119212,leaf,50,310,2,83359
SRR6123017,WGS,50,2908550,PRJNA408137,SAMN07675579,Plant,1068122,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_281,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235841,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00084,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_281,SRP119212,leaf,50,330,1,58171
SRR6123018,WGS,50,9336350,PRJNA408137,SAMN07675578,Plant,2986708,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_280,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235840,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00083,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_280,SRP119212,leaf,50,312,4,186727
SRR6123019,WGS,50,9744150,PRJNA408137,SAMN07675577,Plant,2746084,"UNIVERSITY OF CALIFORNIA, DAVIS",public,Alca_Tarma_dihaploid_279,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3235839,Peru,South America,Peru,Illumina HiSeq 4000,KFRAG_00082,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2017-10-02T00:00:00Z,LOP868_279,SRP119212,leaf,50,243,4,194883
