Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,TISSUE,TREATMENT
SRR8325643,WGS,101,508749726,PRJNA510212,SAMN10600192,Plant,188021634,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137539,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_6,MFRAG_00018,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant6,SRP173533,leaf,control
SRR8325644,WGS,101,294981105,PRJNA510212,SAMN10600196,Plant,110263013,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137538,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_11,MFRAG_00017,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant11,SRP173533,leaf,control
SRR8325645,WGS,101,574067032,PRJNA510212,SAMN10600175,Plant,209864881,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137537,USA,North America,USA,Illumina HiSeq 4000,proto_regen_105,MFRAG_00008,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_105,SRP173533,leaf,protoplast_regenerated
SRR8325646,WGS,101,742513014,PRJNA510212,SAMN10600187,Plant,270678279,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137536,USA,North America,USA,Illumina HiSeq 4000,proto_regen_93,MFRAG_00007,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_93,SRP173533,leaf,protoplast_regenerated
SRR8325647,WGS,101,1025088794,PRJNA510212,SAMN10600183,Plant,368435354,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137535,USA,North America,USA,Illumina HiSeq 4000,proto_regen_75,MFRAG_00012,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_75,SRP173533,leaf,protoplast_regenerated
SRR8325648,WGS,101,1205954342,PRJNA510212,SAMN10600174,Plant,434487171,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137534,USA,North America,USA,Illumina HiSeq 4000,proto_regen_104,MFRAG_00010,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_104,SRP173533,leaf,protoplast_regenerated
SRR8325649,WGS,101,1172541118,PRJNA510212,SAMN10600180,Plant,421063218,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137533,USA,North America,USA,Illumina HiSeq 4000,proto_regen_43,MFRAG_00014,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_43,SRP173533,leaf,protoplast_regenerated
SRR8325650,WGS,101,1011956168,PRJNA510212,SAMN10600178,Plant,368260375,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137532,USA,North America,USA,Illumina HiSeq 4000,proto_regen_12,MFRAG_00013,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_12,SRP173533,leaf,protoplast_regenerated
SRR8325651,WGS,101,542327883,PRJNA510212,SAMN10600191,Plant,200106198,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137531,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_5,MFRAG_00016,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant5,SRP173533,leaf,control
SRR8325652,WGS,101,963967028,PRJNA510212,SAMN10600187,Plant,351424482,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137530,USA,North America,USA,Illumina HiSeq 4000,proto_regen_93,MFRAG_00015,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_93,SRP173533,leaf,protoplast_regenerated
SRR8325653,WGS,101,986187533,PRJNA510212,SAMN10600176,Plant,359288129,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137529,USA,North America,USA,Illumina HiSeq 4000,proto_regen_11,MFRAG_00035,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_11,SRP173533,leaf,protoplast_regenerated
SRR8325654,WGS,101,1217977584,PRJNA510212,SAMN10600178,Plant,446293900,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137528,USA,North America,USA,Illumina HiSeq 4000,proto_regen_12,MFRAG_00034,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_12,SRP173533,leaf,protoplast_regenerated
SRR8325655,WGS,101,988549721,PRJNA510212,SAMN10600195,Plant,363181736,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137527,USA,North America,USA,Illumina HiSeq 4000,no_regen_control_10,MFRAG_00033,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,ControlDes_Plant10,SRP173533,leaf,control
SRR8325656,WGS,101,446663814,PRJNA510212,SAMN10600174,Plant,165893076,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137526,USA,North America,USA,Illumina HiSeq 4000,proto_regen_104,MFRAG_00032,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_104,SRP173533,leaf,protoplast_regenerated
SRR8325657,WGS,101,777303979,PRJNA510212,SAMN10600181,Plant,280492687,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137525,USA,North America,USA,Illumina HiSeq 4000,proto_regen_63,MFRAG_00039,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_63,SRP173533,leaf,protoplast_regenerated
SRR8325658,WGS,101,696474184,PRJNA510212,SAMN10600179,Plant,252873532,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137524,USA,North America,USA,Illumina HiSeq 4000,proto_regen_13,MFRAG_00038,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_13,SRP173533,leaf,protoplast_regenerated
SRR8325659,WGS,300,596050800,PRJNA510212,SAMN10600226,Plant,187354657,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137523,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_33,KFRAG_01486,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_33,SRP173533,leaf,stem_explant_regenerated
SRR8325660,WGS,300,2260414200,PRJNA510212,SAMN10600225,Plant,673381291,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137522,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_32,KFRAG_01485,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_32,SRP173533,leaf,stem_explant_regenerated
SRR8325661,WGS,300,2273312400,PRJNA510212,SAMN10600224,Plant,675738495,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137521,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_31,KFRAG_01484,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_31,SRP173533,leaf,stem_explant_regenerated
SRR8325662,WGS,300,1344601500,PRJNA510212,SAMN10600223,Plant,397315080,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137520,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_30,KFRAG_01483,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_30,SRP173533,leaf,stem_explant_regenerated
SRR8325663,WGS,300,2311217100,PRJNA510212,SAMN10600222,Plant,696735951,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137519,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_29,KFRAG_01482,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_29,SRP173533,leaf,stem_explant_regenerated
SRR8325664,WGS,300,2632394700,PRJNA510212,SAMN10600221,Plant,786112810,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137518,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_28,KFRAG_01481,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_28,SRP173533,leaf,stem_explant_regenerated
SRR8325665,WGS,300,2225403900,PRJNA510212,SAMN10600220,Plant,664727976,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137517,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_27,KFRAG_01480,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_27,SRP173533,leaf,stem_explant_regenerated
SRR8325666,WGS,300,1775859600,PRJNA510212,SAMN10600219,Plant,534763968,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137516,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_26,KFRAG_01479,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_26,SRP173533,leaf,stem_explant_regenerated
SRR8325667,WGS,300,1986195300,PRJNA510212,SAMN10600218,Plant,593567205,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137515,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_25,KFRAG_01478,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_25,SRP173533,leaf,stem_explant_regenerated
SRR8325668,WGS,300,2155135200,PRJNA510212,SAMN10600217,Plant,641749808,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137514,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_24,KFRAG_01477,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_24,SRP173533,leaf,stem_explant_regenerated
SRR8325669,WGS,101,854625842,PRJNA510212,SAMN10600184,Plant,308622760,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137513,USA,North America,USA,Illumina HiSeq 4000,proto_regen_83,MFRAG_00041,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_83,SRP173533,leaf,protoplast_regenerated
SRR8325670,WGS,101,993742333,PRJNA510212,SAMN10600182,Plant,359341310,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137512,USA,North America,USA,Illumina HiSeq 4000,proto_regen_74,MFRAG_00040,SINGLE,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,Plant_74,SRP173533,leaf,protoplast_regenerated
SRR8325671,WGS,300,3068817900,PRJNA510212,SAMN10600206,Plant,902865544,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137511,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_10,KFRAG_01463,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_10,SRP173533,leaf,stem_explant_regenerated
SRR8325672,WGS,300,2067929400,PRJNA510212,SAMN10600203,Plant,605644032,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137510,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_7,KFRAG_01460,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_7,SRP173533,leaf,stem_explant_regenerated
SRR8325673,WGS,300,2324945100,PRJNA510212,SAMN10600204,Plant,686833703,"COMAI LAB, UNIVERSITY OF CALIFORNIA, DAVIS",public,Desiree,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5137509,USA,North America,USA,Illumina NovaSeq 6000,stem_explant_regen_8,KFRAG_01461,PAIRED,RANDOM,GENOMIC,Solanum tuberosum,ILLUMINA,2019-03-13T00:00:00Z,PSK_8,SRP173533,leaf,stem_explant_regenerated
